ENTRY_TIME,EXIT_TIME,VEHICLE_ID,GATE_NO
2024-05-30 12:10:15,2024-05-30 12:13:24,MH27BX8173,1
2024-05-30 12:10:04,NULL,OD058A0589,1
2024-05-30 12:09:56,NULL,OD054S5292,1
2024-05-30 12:08:00,NULL,ODDAH50791,1
2024-05-30 12:02:26,2024-05-30 16:18:02,OD05BH9114,1
2024-05-30 12:02:12,2024-05-30 22:30:23,OD21R0039,1
2024-05-30 12:01:08,2024-05-30 20:45:34,OD29L8769,1
2024-05-30 11:53:24,2024-05-30 17:55:33,OD05AT8999,1
2024-05-30 11:45:42,NULL,R41590D05A0,1
2024-05-30 11:44:07,NULL,ODD58P0866,1
2024-05-30 11:44:05,2024-05-30 18:14:06,OD05BB0866,1
2024-05-30 11:42:40,2024-05-30 13:44:52,OD21N6117,1
2024-05-30 11:41:38,2024-05-30 10:12:26,OD05AF4814,1
2024-05-30 11:40:20,2024-05-30 17:51:58,OD05BB6736,1
2024-05-30 11:39:12,2024-05-30 18:57:19,OD02BM0036,1
2024-05-30 11:38:55,NULL,OD02BV1126,1
2024-05-30 11:38:11,2024-05-30 12:43:30,OD04T1149,1
2024-05-30 11:36:54,NULL,OD05D01947,1
2024-05-30 11:36:52,2024-05-30 18:49:14,OD05D0194,1
2024-05-30 11:35:42,2024-05-30 18:15:04,OD21N7015,1
2024-05-30 11:33:31,2024-05-30 19:51:53,OD05BM3967,1
2024-05-30 11:31:25,2024-05-30 17:55:44,OD21E3287,1
2024-05-30 11:29:50,2024-05-30 20:08:11,OD05BN4955,1
2024-05-30 11:29:38,2024-05-30 18:43:50,OD02BV1161,1
2024-05-30 11:26:49,2024-05-30 17:56:52,OD21M7248,1
2024-05-30 11:26:25,NULL,RJU4GC3299,1
2024-05-30 11:24:59,2024-05-30 11:49:11,OD05BH6477,1
2024-05-30 11:21:09,2024-05-30 16:40:36,OD21J3339,1
2024-05-30 11:19:58,NULL,OD22R3234,1
2024-05-30 11:19:31,NULL,71724DD05A,1
2024-05-30 11:19:30,NULL,ODD5AU1724,1
2024-05-30 11:13:55,NULL,OD05BF804,1
2024-05-30 11:11:56,2024-05-30 19:15:00,OD02B01284,1
2024-05-30 11:11:48,NULL,ODD5AP2111,1
2024-05-30 11:11:44,NULL,OD05AF2131,1
2024-05-30 11:11:06,2024-05-30 13:35:48,23BH6674F,1
2024-05-30 11:10:39,2024-05-30 11:47:40,HR06AG3507,1
2024-05-30 11:08:31,NULL,OR07J1513,1
2024-05-30 11:07:59,NULL,OD146E4866,1
2024-05-30 11:05:21,2024-05-30 19:19:18,OD33AG7398,1
2024-05-30 11:02:31,2024-05-30 11:00:01,GJ18BV2001,1
2024-05-30 11:02:24,NULL,OD0D04047,1
2024-05-30 11:00:31,2024-05-30 09:23:22,OD0502677,1
2024-05-30 10:58:28,2024-05-30 15:55:48,OD05BA0292,1
2024-05-30 10:53:50,2024-05-30 12:59:02,OD33A6716,1
2024-05-30 10:51:41,NULL,UA05AX0605,1
2024-05-30 10:51:21,2024-05-30 12:22:11,OD02S4770,1
2024-05-30 10:51:05,2024-05-30 15:21:32,OD05AE6520,1
2024-05-30 10:50:52,NULL,O0D584D580,1
2024-05-30 10:50:44,NULL,OD05BD7586,1
2024-05-30 10:47:02,2024-05-30 16:09:36,OD05AJ4523,1
2024-05-30 10:46:48,2024-05-30 12:46:25,OD02R6157,1
2024-05-30 10:43:08,2024-05-30 12:58:57,OD05BA7668,1
2024-05-30 10:42:49,NULL,UA33AE0030,1
2024-05-30 10:41:40,2024-05-30 18:39:16,OD21H6540,1
2024-05-30 10:40:33,2024-05-30 19:28:52,OD02CG3906,1
2024-05-30 10:34:24,NULL,L5005AS3722,1
2024-05-30 10:34:23,NULL,OD054S3722,1
2024-05-30 10:34:20,2024-05-30 17:54:38,OD05AS3722,1
2024-05-30 10:31:03,NULL,OD05A4B235,1
2024-05-30 10:28:30,2024-05-30 13:14:50,OD02CC4924,1
2024-05-30 10:27:18,NULL,OD05A8625,1
2024-05-30 10:27:05,2024-05-30 12:54:52,OD02AE5016,1
2024-05-30 10:25:46,NULL,OD05N4622,1
2024-05-30 10:25:43,2024-05-30 10:15:06,OD05H4622,1
2024-05-30 10:24:05,NULL,OD02C0745,1
2024-05-30 10:23:17,2024-05-30 18:19:54,OD07L2517,1
2024-05-30 10:22:38,2024-05-30 18:17:59,OD07AE7399,1
2024-05-30 10:18:29,2024-05-30 10:59:36,OR04N9533,1
2024-05-30 10:17:25,2024-05-30 19:03:58,OD02CP0019,1
2024-05-30 10:17:04,2024-05-30 18:39:58,OD04N0551,1
2024-05-30 10:16:30,NULL,OR07MM1417,1
2024-05-30 10:15:50,2024-05-30 20:20:02,OD29J5305,1
2024-05-30 10:15:44,2024-05-30 18:32:58,OD05AG4717,1
2024-05-30 10:15:17,2024-05-30 19:17:11,OD05BF8436,1
2024-05-30 10:12:55,2024-05-30 18:37:13,OD05AK5596,1
2024-05-30 10:09:20,2024-05-30 21:15:47,OD05AV4557,1
2024-05-30 10:08:40,NULL,D005RH8796,1
2024-05-30 10:08:38,2024-05-30 12:32:16,OD05AH8796,1
2024-05-30 10:07:59,2024-05-30 15:05:33,OD05AR1236,1
2024-05-30 10:07:29,2024-05-30 18:08:40,OD29D1911,1
2024-05-30 10:06:03,2024-05-30 18:37:46,JH01BW5106,1
2024-05-30 10:05:30,2024-05-30 17:30:28,MH40CM3609,1
2024-05-30 10:05:00,2024-05-30 14:37:50,OD02BX2299,1
2024-05-30 09:58:12,NULL,D040DQ4797,1
2024-05-30 09:58:09,2024-05-30 11:50:54,OD0404797,1
2024-05-30 09:57:57,NULL,ODD54DF2357,1
2024-05-30 09:57:55,NULL,ODD54P235,1
2024-05-30 09:57:55,NULL,OD05A2351,1
2024-05-30 09:56:33,NULL,OD05BH6640,1
2024-05-30 09:47:24,2024-05-30 10:12:09,OD05BD5587,1
2024-05-30 09:46:59,NULL,OR01V2054,1
2024-05-30 09:45:49,2024-05-30 21:58:27,UP16AF8715,1
2024-05-30 09:44:29,2024-05-30 19:49:23,OD02BU4725,1
2024-05-30 09:43:18,2024-05-30 19:13:15,OD05AP5715,1
2024-05-30 09:42:28,NULL,OL6ST9611,1
2024-05-30 09:41:14,2024-05-30 09:31:45,OD3300920,1
2024-05-30 09:40:32,NULL,23BH6955E,1
2024-05-30 09:40:29,NULL,OD05BJ6900,1
2024-05-30 09:38:44,2024-05-30 12:51:13,OD05AP8122,1
2024-05-30 09:36:55,2024-05-30 15:32:14,OD02CS0529,1
2024-05-30 09:36:48,2024-05-30 18:04:26,OR21E1922,1
2024-05-30 09:36:04,2024-05-30 09:30:52,OD21C1144,1
2024-05-30 09:35:08,2024-05-30 17:34:14,OD05AX7263,1
2024-05-30 09:34:39,2024-05-30 11:00:37,OD05BG4288,1
2024-05-30 09:33:05,2024-05-30 13:19:32,OD05AS3899,1
2024-05-30 09:32:17,2024-05-30 17:12:04,OD05AC8779,1
2024-05-30 09:31:24,2024-05-30 09:21:57,OR05AF1570,1
2024-05-30 09:30:57,2024-05-30 18:55:29,AS23Q0524,1
2024-05-30 09:30:55,NULL,GJ06KD131,1
2024-05-30 09:30:36,2024-05-30 18:45:28,AS01EX8371,1
2024-05-30 09:30:25,NULL,O0058C652S,1
2024-05-30 09:30:24,NULL,ODGS8C6S2S,1
2024-05-30 09:30:06,2024-05-30 10:48:10,OD21M6308,1
2024-05-30 09:29:38,2024-05-30 18:03:04,22BH0856D,1
2024-05-30 09:29:29,NULL,UP85AS7660,1
2024-05-30 09:29:21,2024-05-30 18:29:23,HR05BF1463,1
2024-05-30 09:29:16,NULL,OD05AY844,1
2024-05-30 09:29:11,2024-05-30 17:25:00,JH05CG0249,1
2024-05-30 09:28:57,2024-05-30 20:12:40,22BH0170B,1
2024-05-30 09:28:35,2024-05-30 15:17:06,OD05AT0250,1
2024-05-30 09:28:13,NULL,OD33L6258,1
2024-05-30 09:28:03,2024-05-30 17:19:28,OR02BK6831,1
2024-05-30 09:27:59,2024-05-30 17:36:06,OD02CM0983,1
2024-05-30 09:27:55,2024-05-30 19:54:26,HR06AV7576,1
